ref_id,cited_title,verified_title,cited_authors,verified_authors,cited_venue,verified_venue,doi_or_arxiv,url,status,note,retrieved_utc,applied_authors,applied_venue,fix_applied
bai2025qwen3vl,{Qwen3-VL} Technical Report,Qwen3-VL Technical Report,Shuai Bai and Yuxuan Cai and Ruizhe Chen and others,"Bai, Shuai; Cai, Yuxuan; Chen, Ruizhe; Chen, Keqin; Chen, Xionghui; Cheng, Zesen; Deng, Lianghao; Ding, Wei; Gao, Chang; Ge, Chunjiang; Ge, Wenbin; Guo, Zhifang; Huang, Qidong; Huang, Jie; Huang, Fei; Hui, Binyuan; Jiang, Shutong; Li, Zhaohai; Li, Mingsheng; Li, Mei; Li, Kaixin; Lin, Zicheng; Lin, Junyang; Liu, Xuejing; Liu, Jiawei; Liu, Chenglong; Liu, Yang; Liu, Dayiheng; Liu, Shixuan; Lu, Dunjie; Luo, Ruilin; Lv, Chenxu; Men, Rui; Meng, Lingchen; Ren, Xuancheng; Ren, Xingzhang; Song, Sibo; Sun, Yuchong; Tang, Jun; Tu, Jianhong; Wan, Jianqiang; Wang, Peng; Wang, Pengfei; Wang, Qiuyue; Wang, Yuxuan; Xie, Tianbao; Xu, Yiheng; Xu, Haiyang; Xu, Jin; Yang, Zhibo; Yang, Mingkun; Yang, Jianxin; Yang, An; Yu, Bowen; Zhang, Fei; Zhang, Hang; Zhang, Xi; Zheng, Bo; Zhong, Humen; Zhou, Jingren; Zhou, Fan; Zhou, Jing; Zhu, Yuanzhi; Zhu, Ke",arXiv preprint arXiv:2511.21631,42 pages,2511.21631,https://arxiv.org/abs/2511.21631,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:22.280044+00:00,Shuai Bai and Yuxuan Cai and Ruizhe Chen and others,arXiv preprint arXiv:2511.21631,False
li2023blip2,{BLIP}-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Junnan Li and Dongxu Li and Silvio Savarese and Steven Hoi,"Li, Junnan; Li, Dongxu; Savarese, Silvio; Hoi, Steven",Proc. 40th Int. Conf. Mach. Learn.,"PMLR 202:19730-19742, 2023",2301.12597,https://arxiv.org/abs/2301.12597,OK,Official proceedings additionally checked: https://proceedings.mlr.press/v202/li23q.html,2026-09-15T13:56:22.290046+00:00,Junnan Li and Dongxu Li and Silvio Savarese and Steven Hoi,Proc. 40th Int. Conf. Mach. Learn.,False
puyin2026quantiphy,{QUANTIPHY}: A Quantitative Benchmark Evaluating Physical Reasoning Abilities of Vision-Language Models,QuantiPhy: A Quantitative Benchmark Evaluating Physical Reasoning Abilities of Vision-Language Models,Li Puyin and Tiange Xiang and Ella Mao and Shirley Wei and Xinye Chen and Adnan Masood and Li Fei-Fei and Ehsan Adeli,Puyin Li; Tiange Xiang; Ella Mao; Shirley Wei; Xinye Chen; Adnan Masood; Fei-Fei Li; Ehsan Adeli,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.,"CVPR 2026, 33174-33184",2512.19526,https://arxiv.org/abs/2512.19526,FIX,Name-order discrepancy in CVF/arXiv exports corrected using Stanford author profile and author-affiliated report: https://profiles.stanford.edu/puyin-li ; https://hai.stanford.edu/news/ai-cant-do-physics-well-and-thats-a-roadblock-to-autonomy ; https://openaccess.thecvf.com/content/CVPR2026/html/Puyin_QUANTIPHY_A_Quantitative_Benchmark_Evaluating_Physical_Reasoning_Abilities_of_Vision-Language_CVPR_2026_paper.html,2026-09-15T13:56:22.243537+00:00,"Li, Puyin and Tiange Xiang and Ella Mao and Shirley Wei and Xinye Chen and Adnan Masood and Li, Fei-Fei and Ehsan Adeli",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.,True
zhan2026idpp,Inferring Dynamic Physical Properties from Video Foundation Models,Inferring Dynamic Physical Properties from Video Foundation Models,Guanqi Zhan and Xianzheng Ma and Weidi Xie and Andrew Zisserman,"Zhan, Guanqi; Ma, Xianzheng; Xie, Weidi; Zisserman, Andrew",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. Workshops,,2510.02311,https://arxiv.org/abs/2510.02311,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:22.302045+00:00,Guanqi Zhan and Xianzheng Ma and Weidi Xie and Andrew Zisserman,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. Workshops,False
zhai2024nerf2physics,Physical Property Understanding from Language-Embedded Feature Fields,Physical Property Understanding from Language-Embedded Feature Fields,Albert J. Zhai and Yuan Shen and Emily Y. Chen and Gloria X. Wang and Xinlei Wang and Sheng Wang and Kaiyu Guan and Shenlong Wang,"Zhai, Albert J.; Shen, Yuan; Chen, Emily Y.; Wang, Gloria X.; Wang, Xinlei; Wang, Sheng; Guan, Kaiyu; Wang, Shenlong",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.,CVPR 2024. Project page (with code): this https URL,2404.04242,https://arxiv.org/abs/2404.04242,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:22.243537+00:00,Albert J. Zhai and Yuan Shen and Emily Y. Chen and Gloria X. Wang and Xinlei Wang and Sheng Wang and Kaiyu Guan and Shenlong Wang,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.,False
tung2023physionpp,Physion++: Evaluating Physical Scene Understanding That Requires Online Inference of Different Physical Properties,Physion++: Evaluating Physical Scene Understanding that Requires Online Inference of Different Physical Properties,Hsiao-Yu Tung and Mingyu Ding and Zhenfang Chen and Daniel Bear and Chuang Gan and Joshua B. Tenenbaum and Daniel Yamins and Judith Fan and Kevin Smith,"Tung, Hsiao-Yu; Ding, Mingyu; Chen, Zhenfang; Bear, Daniel; Gan, Chuang; Tenenbaum, Joshua B.; Yamins, Daniel LK; Fan, Judith E; Smith, Kevin A.",Advances in Neural Information Processing Systems,Accepted by NeurIPS 2023 Datasets and Benchmarks Track,2306.15668,https://arxiv.org/abs/2306.15668,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:22.732074+00:00,Hsiao-Yu Tung and Mingyu Ding and Zhenfang Chen and Daniel Bear and Chuang Gan and Joshua B. Tenenbaum and Daniel Yamins and Judith Fan and Kevin Smith,Advances in Neural Information Processing Systems,False
bear2021physion,Physion: Evaluating Physical Prediction from Vision in Humans and Machines,Physion: Evaluating Physical Prediction from Vision in Humans and Machines,Daniel M. Bear and Elias Wang and Damian Mrowca and Felix J. Binder and Hsiao-Yu Tung and R. T. Pramod and Cameron Holdaway and Sirui Tao and Kevin Smith and Fan-Yun Sun and Li Fei-Fei and Nancy Kanwisher and Joshua B. Tenenbaum and Daniel L. K. Yamins and Judith E. Fan,"Bear, Daniel M.; Wang, Elias; Mrowca, Damian; Binder, Felix J.; Tung, Hsiao-Yu Fish; Pramod, R. T.; Holdaway, Cameron; Tao, Sirui; Smith, Kevin; Sun, Fan-Yun; Fei-Fei, Li; Kanwisher, Nancy; Tenenbaum, Joshua B.; Yamins, Daniel L. K.; Fan, Judith E.",Advances in Neural Information Processing Systems,"NeurIPS Datasets and Benchmarks, volume 1, 2021",2106.08261,https://arxiv.org/abs/2106.08261,FIX,Corrected separate proceedings volume and Fei-Fei Li name order. Official proceedings: https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/d09bf41544a3365a46c9077ebb5e35c3-Abstract-round1.html,2026-09-15T13:56:22.810636+00:00,"Daniel M. Bear and Elias Wang and Damian Mrowca and Felix J. Binder and Hsiao-Yu Tung and R. T. Pramod and Cameron Holdaway and Sirui Tao and Kevin Smith and Fan-Yun Sun and Li, Fei-Fei and Nancy Kanwisher and Joshua B. Tenenbaum and Daniel L. K. Yamins and Judith E. Fan",Proceedings of the Neural Information Processing Systems Track on Datasets and Benchmarks,True
li2021dvr,Dynamic Visual Reasoning by Learning Differentiable Physics Models from Video and Language,Dynamic Visual Reasoning by Learning Differentiable Physics Models from Video and Language,Mingyu Ding and Zhenfang Chen and Tao Du and Ping Luo and Joshua B. Tenenbaum and Chuang Gan,"Ding, Mingyu; Chen, Zhenfang; Du, Tao; Luo, Ping; Tenenbaum, Joshua B.; Gan, Chuang",Advances in Neural Information Processing Systems,NeurIPS 2021. Project page: this http URL,2110.15358,https://arxiv.org/abs/2110.15358,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:22.972787+00:00,Mingyu Ding and Zhenfang Chen and Tao Du and Ping Luo and Joshua B. Tenenbaum and Chuang Gan,Advances in Neural Information Processing Systems,False
pineda2022theseus,Theseus: A Library for Differentiable Nonlinear Optimization,Theseus: A Library for Differentiable Nonlinear Optimization,Luis Pineda and Taosha Fan and Maurizio Monge and Shobha Venkataraman and Paloma Sodhi and Ricky T. Q. Chen and Joseph Ortiz and Daniel DeTone and Austin Wang and Stuart Anderson and Jing Dong and Brandon Amos and Mustafa Mukadam,"Pineda, Luis; Fan, Taosha; Monge, Maurizio; Venkataraman, Shobha; Sodhi, Paloma; Chen, Ricky T. Q.; Ortiz, Joseph; DeTone, Daniel; Wang, Austin; Anderson, Stuart; Dong, Jing; Amos, Brandon; Mukadam, Mustafa",Advances in Neural Information Processing Systems,"Advances in Neural Information Processing Systems (NeurIPS), 2022",2207.09442,https://arxiv.org/abs/2207.09442,OK,Primary arXiv metadata/author comments; proceedings page range not independently rechecked.,2026-09-15T13:56:22.798634+00:00,Luis Pineda and Taosha Fan and Maurizio Monge and Shobha Venkataraman and Paloma Sodhi and Ricky T. Q. Chen and Joseph Ortiz and Daniel DeTone and Austin Wang and Stuart Anderson and Jing Dong and Brandon Amos and Mustafa Mukadam,Advances in Neural Information Processing Systems,False
huber1964robust,Robust Estimation of a Location Parameter,Robust Estimation of a Location Parameter,Peter J. Huber,Peter J. Huber,Ann. Math. Statist.,The Annals of Mathematical Statistics; 35; 73-101,10.1214/aoms/1177703732,https://api.crossref.org/works/10.1214/aoms/1177703732,OK,Publisher-deposited Crossref bibliographic record.,2026-09-15T13:56:23.218825+00:00,Peter J. Huber,Ann. Math. Statist.,False
